Player,Pos,Age,Tm,G,GS,MP/G,FG/G,FGA/G,FG%,3P/G,3PA/G,3P%,2P/G,2PA/G,2P%,eFG%,FT/G,FTA/G,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
Jalen Rose,SF,30,CHI,82,82,40.9,7.8,19.3,.406,1.6,4.4,.370,6.2,14.9,.416,.448,4.9,5.7,.854,0.8,3.5,4.3,4.8,0.9,0.3,3.5,3.3,22.1
Malik Rose,PF,28,SAS,79,13,24.5,3.7,8.0,.459,0.0,0.1,.400,3.6,7.9,.459,.460,3.1,3.9,.791,1.9,4.5,6.4,1.6,0.7,0.5,2.2,2.6,10.4
Guy Rucker,PF,25,GSW,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Kareem Rush,PG,22,LAL,76,0,11.5,1.3,3.2,.393,0.3,0.9,.279,1.0,2.3,.438,.432,0.2,0.3,.696,0.3,0.9,1.2,0.9,0.1,0.1,0.8,0.9,3.0
Bryon Russell,SF,32,WAS,70,23,19.8,1.5,4.4,.353,0.7,2.0,.329,0.9,2.4,.373,.428,0.8,1.0,.768,0.6,2.4,3.0,1.0,1.0,0.1,0.8,1.9,4.5
,C,38,POR,78,1,15.5,2.2,4.6,.476,0.0,0.1,.500,2.2,4.6,.476,.481,1.7,2.1,.787,1.1,3.2,4.3,1.8,0.8,0.6,1.0,1.8,6.1
John Salmons,PG,23,PHI,64,1,7.9,0.8,1.8,.414,0.2,0.5,.323,0.6,1.3,.447,.457,0.4,0.5,.743,0.3,0.7,0.9,0.7,0.3,0.1,0.5,0.8,2.1
Soumaila Samake,C,24,LAL,13,1,5.9,0.8,1.8,.417,0.0,0.0,,0.8,1.8,.417,.417,0.2,0.2,1.000,0.8,1.0,1.8,0.3,0.0,0.4,0.2,1.0,1.7
Jamal Sampson,PF,19,MIL,5,0,1.6,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.0,0.0,,0.2,0.2,0.4,0.2,0.2,0.0,0.0,0.0,0.0
Pepe Sanchez,PG,25,DET,9,0,4.1,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,.000,0.0,0.0,,0.4,0.2,0.7,0.9,0.6,0.0,0.2,0.3,0.0
Jeryl Sasser,SG,23,ORL,75,4,13.7,0.9,2.8,.309,0.2,0.6,.295,0.7,2.2,.313,.341,0.7,1.0,.679,0.9,1.6,2.5,0.9,0.6,0.2,0.5,1.2,2.6
Kenny Satterfield,PG,21,TOT,39,6,12.9,1.4,4.7,.301,0.1,0.7,.179,1.3,4.0,.323,.314,0.4,0.6,.680,0.4,0.7,1.1,1.7,0.5,0.1,1.1,0.9,3.4
Kenny Satterfield,PG,21,DEN,22,6,19.1,2.3,7.5,.309,0.2,1.3,.179,2.1,6.2,.336,.324,0.7,1.0,.696,0.5,1.0,1.6,2.4,0.8,0.1,1.6,1.4,5.6
Kenny Satterfield,PG,21,PHI,17,0,4.8,0.2,1.1,.222,0.0,0.0,,0.2,1.1,.222,.222,0.1,0.1,.500,0.2,0.2,0.5,0.9,0.1,0.0,0.4,0.4,0.5
Predrag Savovic,SG,26,DEN,27,0,9.5,1.1,3.4,.312,0.1,1.0,.154,0.9,2.5,.373,.333,0.8,1.1,.724,0.3,0.6,0.9,0.8,0.5,0.0,0.8,1.2,3.1
Brian Scalabrine,PF,24,NJN,59,7,12.3,1.2,2.9,.402,0.2,0.7,.359,0.9,2.2,.415,.444,0.5,0.6,.833,0.7,1.7,2.4,0.8,0.3,0.3,0.8,1.3,3.1
Ansu Sesay,SF,26,SEA,45,4,10.0,0.9,2.4,.383,0.0,0.0,,0.9,2.4,.383,.383,0.3,0.5,.571,0.8,0.9,1.6,0.5,0.3,0.1,0.6,1.4,2.1
Brian Shaw,PG,36,LAL,72,0,12.5,1.4,3.6,.387,0.5,1.5,.349,0.9,2.1,.414,.460,0.1,0.2,.667,0.3,1.4,1.7,1.4,0.4,0.2,0.8,0.9,3.5
Paul Shirley,PF,25,ATL,2,0,2.5,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Simmons,SG,22,WAS,36,2,10.5,1.2,3.1,.393,0.0,0.1,.000,1.2,3.0,.411,.393,0.9,1.0,.914,0.9,1.2,2.1,0.6,0.3,0.1,0.2,1.4,3.3
Brian Skinner,PF,26,PHI,77,9,17.9,2.4,4.3,.550,0.0,0.0,,2.4,4.3,.550,.550,1.3,2.1,.602,1.8,3.0,4.8,0.2,0.6,0.7,0.8,2.3,6.0
Reggie Slater,PF,32,MIN,26,0,5.4,1.0,1.9,.540,0.0,0.0,,1.0,1.9,.540,.540,1.0,1.7,.600,0.7,0.5,1.2,0.2,0.2,0.0,0.3,1.2,3.1
Tamar Slay,SG,22,NJN,36,0,7.6,1.1,2.9,.379,0.2,0.7,.280,0.9,2.2,.410,.413,0.2,0.3,.700,0.2,0.6,0.9,0.4,0.4,0.1,0.6,0.9,2.6
Charles Smith,SG,27,POR,3,0,4.3,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,1.0,1.3,.750,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,1.7
Joe Smith,SF,27,MIN,54,21,20.7,2.8,6.1,.460,0.0,0.0,.000,2.8,6.0,.463,.460,1.9,2.4,.779,2.1,2.9,5.0,0.7,0.3,1.0,0.8,3.2,7.5
Steve Smith,SG,33,SAS,53,18,19.5,2.1,5.5,.388,0.7,2.2,.331,1.4,3.3,.428,.455,1.8,2.2,.833,0.4,1.5,1.9,1.3,0.5,0.2,0.8,1.5,6.8
Eric Snow,PG,29,PHI,82,82,37.9,4.4,9.7,.452,0.1,0.4,.219,4.3,9.4,.462,.456,4.0,4.6,.858,0.9,2.8,3.7,6.6,1.6,0.1,2.4,2.9,12.9
Latrell Sprewell,SF,32,NYK,74,73,38.6,6.1,15.2,.403,1.8,4.9,.372,4.3,10.4,.417,.462,2.3,2.9,.794,0.6,3.2,3.9,4.5,1.4,0.3,2.3,1.8,16.4
Jerry Stackhouse,SG,28,WAS,70,70,39.2,7.0,17.2,.409,1.0,3.5,.290,6.0,13.7,.439,.438,6.5,7.4,.878,0.9,2.8,3.7,4.5,0.9,0.4,2.8,1.9,21.5
Vladimir Stepania,C,26,MIA,79,6,20.2,2.3,5.4,.433,0.0,0.0,,2.3,5.4,.433,.433,0.9,1.7,.530,2.7,4.3,7.0,0.3,0.6,0.5,0.9,2.1,5.6
DeShawn Stevenson,SG,21,UTA,61,8,12.5,1.9,4.7,.401,0.1,0.2,.333,1.8,4.5,.404,.408,0.8,1.1,.691,0.4,1.0,1.4,0.7,0.4,0.1,0.8,0.9,4.6
Michael Stewart,PF,27,CLE,47,0,5.3,0.3,0.8,.378,0.0,0.0,,0.3,0.8,.378,.378,0.2,0.3,.667,0.4,0.8,1.2,0.1,0.0,0.3,0.2,0.9,0.8
,PG,40,UTA,82,82,27.7,3.8,7.8,.483,0.4,1.0,.363,3.4,6.8,.500,.505,2.9,3.5,.826,0.6,1.8,2.5,7.7,1.7,0.2,2.2,2.2,10.8
Peja Stojakovic,SF,25,SAC,72,72,34.0,6.9,14.4,.481,2.2,5.6,.382,4.8,8.7,.545,.556,3.2,3.7,.875,0.8,4.7,5.5,2.0,1.0,0.1,1.4,2.0,19.2
Damon Stoudamire,PG,29,POR,59,27,22.3,2.6,7.0,.376,0.7,1.9,.386,1.9,5.1,.372,.429,0.9,1.1,.791,0.7,1.9,2.6,3.5,0.7,0.1,1.4,1.1,6.9
Amar'e Stoudemire,PF,20,PHO,82,71,31.3,4.8,10.1,.472,0.0,0.1,.200,4.8,10.0,.476,.473,3.9,5.9,.661,3.0,5.7,8.8,1.0,0.8,1.1,2.3,3.3,13.5
Erick Strickland,SG,29,IND,71,10,18.0,2.3,5.4,.429,0.9,2.3,.388,1.4,3.1,.459,.511,1.0,1.2,.805,0.3,1.7,2.0,2.9,0.5,0.1,1.4,1.6,6.5
